id,source,target
id,资源,目标
76f944e5eb74723399adc54bb93c40bc51fd803a,最喜欢的机会,最喜欢的机会
4430c756c45a77024099b2e550cf03f3b616a7e3,您需要先登录才能收藏此机会。,您需要先登录才能收藏此机会。
d7b35c384aecd25a516200d6921836374613dfe7,取消,取消
68e710782ccb5398b3acb8844caf0b199da2c3da,确认,确认
b5ebce76ac17b2c64965edb3a64ac45789eab5d8,故事,故事
e4af1d8589cbeceafa239ea4c5f287a88f4a4f02,与您的经验经理会面，他会在这里帮助您进行新的冒险。,与您的经验经理会面，他会在这里帮助您进行新的冒险。
553ddaebedd198abcc770d4c31cd5504d87dcd29,请添加您的想法,请添加您的想法
4dfef9c67d8f6e7a85cdce0834c1cb2d2e7e13dd,您想和谁聊天？,您想和谁聊天？
99d89a122e738580a025973c6e78d67169bdef06,体验经理,体验经理
08113d836036502f7f25690d9bf528318dfecd97,直接与您的经理聊天,直接与您的经理聊天
f1abafaeb40ce52355ddcc24686e3cd17b64e08a,应用领域,应用领域
911cec421c58ebd9fe47e9a89fda63dc546f8f61,帮助特定的应用程序,帮助特定的应用程序
dba1582648d3141522be52e35e52610daad94f42,平台支援,平台支援
4a1d520c4af755cfeb20f1acb3a8eb9f99d960d2,使用平台时可能遇到的任何技术问题,使用平台时可能遇到的任何技术问题
8461cbd29ef3160779282ca2718d2d38bc0fc686,尚未为您分配经验管理员,尚未为您分配经验管理员
ce16629cdc47e52789248cc27c58c505044ec797,选择应用程序以开始对话...,选择应用程序以开始对话...
94516fa213706c67ce5a5b5765681d7fb032033a,载入中...,载入中...
9c858c9082e72a6fa5a0deb1787ea8bc18aa78a0,您还没有任何应用程序,您还没有任何应用程序
ec9eb94045a806eca74ac330ec4f9104181e7e95,得到它了！,得到它了！
1154331e28402d925c43580d53f2b5d9ac8f0cfc,全球合作伙伴终止。单击下一步查看国家合作伙伴,全球合作伙伴终止。单击下一步查看国家合作伙伴
9a3ffc95fb25ed5bfdd4ec3ba6a5704f009c6191,第2季直播！,第2季直播！
1c803529cde4e611919fe989a7ab8a9e80b97cb3,有关全球10名志愿者的视频系列,有关全球10名志愿者的视频系列
c14e7717296e334105b4c0992ed6215eb5898277,在这里观看剧集,在这里观看剧集
7368c0739e84b7301694133093cd9d323d334d15,你在找什么？,你在找什么？
28743f333654682e486ea1481840e0609c5bd42f,花6到12周的时间出国做志愿者,花6到12周的时间出国做志愿者
da60c95c3b1aafa44d8061d58aa03d0ce853c7ad,在创业中获得专业经验,在创业中获得专业经验
a915af9c33674a47097209177cd47a483607379d,在您的领域实习并开始您的职业生涯,在您的领域实习并开始您的职业生涯
c2ecb4aab308763438862c109a7cea9be4d8a06a,你想去哪里？,你想去哪里？
cda31dbd724cf5f4fa7a4274d9120651490c8a8c,背部,背部
f732c304c7433e5a83ffcd862c3dce709a0f4982,下一个,下一个
45ad95b7691204acba62474f48aedc621c6bd077,你想让我做什么？ （选择3）,你想让我做什么？ （选择3）
c12e93064242a12e7932d7f1433f37226c3341ab,探索机会,探索机会
91f3f14a5173a8fb87218e84049562a6c7d025f0,您对什么原因感兴趣？ （选择3）,您对什么原因感兴趣？ （选择3）
c6fd9372ff7bac990d7851d7734c992b15a0d36b,寻找机会,寻找机会
87b31c21209791cf1673bb47b17c14f908825770,[对象对象],[对象对象]
4208e3cacb6f5d5df6f46ceabf1a23c5d217c714,重来,重来
376e7cf5d8cc614e745ce58a2143a6d7158ae559,载入中...,载入中...
97662ffbbc646cf9be667f1aab4bd8711a7d58e9,这是对话的开始,这是对话的开始
4d1e4a193894ec110900dc38bd3f6d2ca875dd2e,这里都是空的！发送消息以开始对话。,这里都是空的！发送消息以开始对话。
b914972874cd609b3770e2c9d9eed43f9ee76c97,糟糕，我们已断开连接，请重试,糟糕，我们已断开连接，请重试
c6577e508b64de8397fb7190958553a1a495e52e,载入中...,载入中...
454a7b64803fbe2e5e2a8002a0214124eb2658f5,没有新的通知！,没有新的通知！
8444c2e339957b62697d6e98c64355fde30d7614,让我们帮助您选择合适的机会。,让我们帮助您选择合适的机会。
b41f92d669b5b62edbbd30edd9dae49daec12bb3,您是否正在考虑在国外志愿服务？,您是否正在考虑在国外志愿服务？
b52c87b1b9a4553d7a88cbd1174ec059f75020b4,您是否正在考虑在国外的公司环境中工作？,您是否正在考虑在国外的公司环境中工作？
9d165482c75091d9513e2ffa0a2cf5e7191a8f2c,您是否正在考虑在国外的启动环境中工作？,您是否正在考虑在国外的启动环境中工作？
